"id","english_name","french_name","critical","departments","groups"
1,"Backups ()"," ()","TRUE","Aboriginal Affairs and Northern Development Canada (AANDC)",
2,"BlackBerry ()","BlackBerry (BB)","TRUE","Aboriginal Affairs and Northern Development Canada (AANDC)",
3,"Departmental E-Conferencing Audi and Video Lobby Display ()"," ()","TRUE","Aboriginal Affairs and Northern Development Canada (AANDC)",
4,"Email ()"," ()","TRUE","Aboriginal Affairs and Northern Development Canada (AANDC)",
5,"Groupwise ()"," ()","TRUE","Aboriginal Affairs and Northern Development Canada (AANDC)",
6,"Internet Access ()"," ()","TRUE","Aboriginal Affairs and Northern Development Canada (AANDC)",
7,"IT Security - Network Protection, Auditing, Incident Reporting, Emergency Patches ()"," ()","TRUE","Aboriginal Affairs and Northern Development Canada (AANDC)",
8,"Remote Access ()"," ()","TRUE","Aboriginal Affairs and Northern Development Canada (AANDC)",
9,"Secure Remote Access (SRA)","accès à distance protégé (ADP)","TRUE","Aboriginal Affairs and Northern Development Canada (AANDC)",
10,"Shared Drive ()"," ()","TRUE","Aboriginal Affairs and Northern Development Canada (AANDC)",
11,"1-800 number for Winnipeg Contact Cente ()"," ()","TRUE","Agriculture and Agri-Food Canada (AAFC)",
12,"1-800 number redirection for FDMS ()"," ()","TRUE","Agriculture and Agri-Food Canada (AAFC)",
13,"BlackBerry (BB)"," ()","TRUE","Agriculture and Agri-Food Canada (AAFC)",
14,"Canada Food Inspection Agency Food Recall ()"," ()","TRUE","Agriculture and Agri-Food Canada (AAFC)",
15,"ccmMercury ()"," ()","TRUE","Agriculture and Agri-Food Canada (AAFC)",
16,"Citrix ()"," ()","TRUE","Agriculture and Agri-Food Canada (AAFC)",
17,"Contact Centre Stakeholders Programs Information ()"," ()","TRUE","Agriculture and Agri-Food Canada (AAFC)",
18,"Email ()"," ()","TRUE","Agriculture and Agri-Food Canada (AAFC)",
19,"Enterprise Vault ()"," ()","TRUE","Agriculture and Agri-Food Canada (AAFC)",
20,"Farm Debt Mediation Service (FDMS)","Service de médiation en matière d'endettement agricole (SMMEA)","TRUE","Agriculture and Agri-Food Canada (AAFC)",
21,"PeopleSoft - Human Resources System ()"," ()","TRUE","Agriculture and Agri-Food Canada (AAFC)",
22,"SAP Fiancial System ()"," ()","TRUE","Agriculture and Agri-Food Canada (AAFC)",
23,"SSLVPN ()"," ()","TRUE","Agriculture and Agri-Food Canada (AAFC)",
24,"Virtual Private Network (VPN)"," ()","TRUE","Agriculture and Agri-Food Canada (AAFC)",
25,"Vocera for BlackBerry ()"," ()","TRUE","Agriculture and Agri-Food Canada (AAFC)",
26,"Accelerated Commercial Release Operations Support System (ACROSS)","Système de Soutien de la Mainlevée Accélérée des Expéditions Commerciales (SSMAEC)","TRUE","Canada Border Services Agency (CBSA)",
27,"Automated Border Clearance (ABC)","Contrôle Frontalier Automatisé (CFA)","TRUE","Canada Border Services Agency (CBSA)",
28,"BlackBerry (BB)"," ()","TRUE","Canada Border Services Agency (CBSA)",
29,"Canadian Police Information Centre (CPIC WEB)","Centre d'information de la police canadienne (CIPC)","TRUE","Canada Border Services Agency (CBSA)",
30,"CBSA Secure Core Network ()"," ()","TRUE","Canada Border Services Agency (CBSA)",
31,"CBSA Secure Network Email ()"," ()","TRUE","Canada Border Services Agency (CBSA)",
32,"CBSA Website (www.cbsa-asfc.gc.ca)(CBSA Website)","Site Web de l?ASFC (www.cbsa-asfc.gc.ca)(Site Web de l?ASFC)","TRUE","Canada Border Services Agency (CBSA)",
33,"Customs Commercial System (CCS)","Système des douanes du secteur commercial (SDSC)","TRUE","Canada Border Services Agency (CBSA)",
34,"Data Acquisition System (DAS)","Système d'acquisition de données (SAD)","TRUE","Canada Border Services Agency (CBSA)",
35,"Email Services (Centralized Exchange)(Email Services (Centralized Exchange))","Services de courriel (serveur Exchange contralisé)(Services de courriel (serveur Exchange contralisé))","TRUE","Canada Border Services Agency (CBSA)",
36,"eManifest (eManifest)","Manifeste Electronique (eManifest)","TRUE","Canada Border Services Agency (CBSA)",
37,"Field Operations Support System (CIC FOSS)","Système de soutien aux opérations des bureaux locaux (SSOBL)","TRUE","Canada Border Services Agency (CBSA)",
38,"Global Query Component (GQC)","Composante de requête globale (CRG)","TRUE","Canada Border Services Agency (CBSA)",
39,"iDetect (iDetect)","iDetect (iDetect)","TRUE","Canada Border Services Agency (CBSA)",
40,"Integrated Customs Enforcement System (ICES)","Système intégré d'exécution des douanes (SIED)","TRUE","Canada Border Services Agency (CBSA)",
41,"Integrated Customs System (ICS)","Système intégré des douanes (SID)","TRUE","Canada Border Services Agency (CBSA)",
42,"Integrated Primary Inspection Line (Air)(IPIL Air)","Ligne d'inspection primaire intégrée (aérien)(LIPI aérien)","TRUE","Canada Border Services Agency (CBSA)",
43,"Integrated Primary Inspection Line (Highway)(IPIL Highway)","Ligne d'inspection primaire intégrée (autoroute)(LIPI autoroute)","TRUE","Canada Border Services Agency (CBSA)",
44,"Intelligent Management System (IMS)","Système de gestion des renseignements (SGR)","TRUE","Canada Border Services Agency (CBSA)",
45,"Internet Access ()"," ()","TRUE","Canada Border Services Agency (CBSA)",
46,"Internet API Gateway (IAG)","Passerelle Internet IPV (PII)","TRUE","Canada Border Services Agency (CBSA)",
47,"Nexus Air / Canpass Air kiosks (Nexus Air / Canpass Air kiosks)","les kiosques NEXUS et CANPASS (les kiosques NEXUS et CANPASS)","TRUE","Canada Border Services Agency (CBSA)",
