"id","name","emails"
1,"ECC-TSA SSC-SPC_ECC-CCE_TSA-STA","SSC-SPC_ECC-CCE_TSA-STA@ssc-spc.gc.ca; "
2,"INOT Distribution List Maintenance","SSCINOTRTN.SPCAIATR@ssc-spc.gc.ca; "
3,"IM Generic Mailbox","SSCIncidentManagement.SPCGestiondesincidents@ssc-spc.gc.ca; "
4,"Kelly Molyneaux Simms","Kelly.MolyneauxSimms@ssc-spc.gc.ca; "
5,"SSC-SPC_ECC-CCE","SSC-SPC_ECC-CCE@ssc-spc.gc.ca; "
6,"IT/TI-Incident Notification/Avis dIncident","ITTIIncNotice@ssc-spc.gc.ca; "
7,"Generic INOT Distribution List","Jim.Lackey@ssc-spc.gc.ca; SSC-SPC-Dist_EDC-CDE_ECC-CCE@cra-arc.gc.ca; Dany.bernier@ssc-spc.gc.ca; Jose.tomas@ssc-spc.gc.ca; enterpriseservicedesk.bureaudeservicedentreprise@ssc-spc.gc.ca; Ann.Mayfield@ssc-spc.gc.ca; SSCServiceDeskProjectTeam.SPCEquipedeprojetduBS@ssc-spc.gc.ca; marjorie.churchill@ssc-spc.gc.ca; guy.barrette@ssc-spc.gc.ca; Jacques.Charbonneau@ssc-spc.gc.ca; tom.leblond@ssc-spc.gc.ca; David.perrin@ssc-spc.gc.ca; sscedcf.spcgicde@ssc-spc.gc.ca; SSCEDCDutyManager.SPCCDEgestionaireservice@ssc-spc.gc.ca; ITTIEDCMICG@ssc-spc.gc.ca; Tariq.hasan@ssc-spc.gc.ca; Catherine.kerr@ssc.gc.ca; Milad.Azzi@ssc.gc.ca; SSCGOPIncidentMgmt.SPCPOGGestionIncidents@ssc.gc.ca; SSCGOPIncidents.SPCIncidentsPOG@ssc-spc.gc.ca; brendan.dunne@ssc-spc.gc.ca; SSCDCNEnterpriseNetwork-SPCDCNReseauEntreprise@ssc-spc.gc.ca; SSCIncidentManagement.SPCGestiondesincidents@ssc-spc.gc.ca; Derek.Roussy@ssc-spc.gc.ca; francois.charette@ssc-spc.gc.ca;SSCDCNServiceManagement.SPCRCDGestiondesServices@ssc-spc.gc.ca; 
Roch.Denis@ssc-spc.gc.ca; SSC.EDCTCOE-CDETCOE.SPC@ssc-spc.gc.ca; martin.viau@ssc-spc.gc.ca; SoutienExecutifSSPTI.ITDSSExecutiveSupport@ssc-spc.gc.ca; IT-TI-DIST_SSC_IOD_MGRS IT-TI-DIST_SSC_IOD_MGRS@cra-arc.gc.ca; 
Patrice.Rondeau@ssc-spc.gc.ca; SSCINOTRTN.SPCAIATR@ssc-spc.gc.ca; ann.mayfield@tpsgc-pwgsc.gc.ca; Joyce.Fortin@ssc-spc.gc.ca; Victoria.Recoskie@ssc-spc.gc.ca; john.carey@canada.ca; sandy.caldwell@canada.ca; SSC.etitransition-transitionitsc.SPC@canada.ca; SSC.youremailservicemgmt-votrecourrielgestdeservi.SPC@canada.ca; don.lalonde@canada.ca; jamie.maycock@ssc-spc.gc.ca; johnson.kuruvila@canada.ca; sandra.hampton@canada.ca; Robert.Booth@ssc-spc.gc.ca; tom.brandt@canada.ca; kevin.macewen@canada.ca; john.cafferty@ssc-spc.gc.ca; "
8,"MOBILE TRAVELLERS SERVICE (MTDI) List","Help.Aide@bcp-pco.gc.ca; CENTRAL.HELPDESK@rcmp-grc.gc.ca; Site.nsd-isn@hrsdc-rhdcc.gc.ca; EXTOTTAISH@international.gc.ca; NationalServiceDesk.BureaudeServiceNational@ssc-spc.gc.ca; ItHelpDeskNational@cic.gc.ca; support@vac-acc.gc.ca; ICSP-IMT@forces.gc.ca; help.centre@justice.gc.ca; cspssd@csps-efpc.gc.ca;blackberry-admin@vac-acc.gc.ca; "
9,"INTERIM BB10 SERVICE (iBES) List","SSC.BB10Part-BB10Part.SPC@ssc-spc.gc.ca; "
10,"MYGCHR List","TPSGC.BureaudeServiceMesRHGC-MyGCHRServiceDesk.PWGSC@tpsgc-pwgsc.gc.ca; "
11,"For CRA incidents","SSC.CRADTIMINOT-INOTDTIMARC.SPC@ssc-spc.gc.ca; SSC.CRASolutionsINOT-INOTSolutionsARC.SPC@ssc-spc.gc.ca; SSC.SSCINOT-INOTSPC.SPC@ssc-spc.gc.ca; "
12,"For CBSA incidents","SSC.CBSAINOT-INOTASFC.SPC@ssc-spc.gc.ca; SSC.SSCINOT-INOTSPC.SPC@ssc-spc.gc.ca; "
