"id","english_phrase","french_phrase","version"
1,"Users are clocking and/or are experiencing intermittent access.","Certains utilisateurs reçoivent l’horlage ou éprouvent l’accès par intermittence.","status"
2,"Some users may be experiencing slowness when accessing the CRA/CBSA mainframe.","Certains utilisateurs éprouvent l’accès lent à l’ordinateur central du l'ARC/ASFC.","status"
3,"Users at site %{service_impact} are unable to access the wide area network.","Les utilisateurs à site %{service_impact} n’ont pas d’ accès au réseau.","status"
4,"Users are unable to access various applications including but not limited to %{service_impact}.","Les utilisateurs n’ont pas l’acces à quelques application inclus mais pas limité à %{service_impact}.","status"
5,"Some users are unable to access %{service_impact}.","Certains clients n’ont pas d’acces à %{service_impact}.","status"
6,"Support is investigating.","Le groupe de soutien a été informé.","status"
7,"HART has been informed. ","ESDE a été informé.","status"
8,"Some clients are unable to send ACROSS EDI data.","Certains clients ne peuvent pas envoyer les données SSMAEC EDI.","status"
9,"Paxis is not receiving international API/PNR data for all flights.","SIPAX ne reçoit pas de données API/PNR pour les vols internationaux.","status"
10,"Multiple users at multiple sites are experiencing various access issues with Citrix.","Plusieurs utilisateurs sur plusieurs sites éprouvent les problèmes d'accès avec Citrix.","status"
11,"The service provider is investigating the cause.","Le fournisseur de services enquete la cause.","status"
12,"The SIM has been informed.","Le Gestionnaire principal des incidents a été avisé.","status"
13,"The service provider resolved a network hardware issue.","Le fournisseur de service a résolu un problème de matériel du réseau.","status"
14,"Deployment of new code and security policies failed due to a scheduling error.","Déploiement du nouveau code et les politiques de sécurité a échoué en raison d'une erreur de programmation.","status"
15,"Updates were applied enabling access to all affected applications.","Mises à jour ont été appliquées permettant l'accès à toutes les applications affectés.","status"
16,"Users are unable to access the following applications: %{service_impact}","Les utilisateurs ne peuvent pas accéder les applications suivantes: %{service_impact}","status"
17,"A mainframe connectivity problem has been resolved. ","Une probléme de connectivité entre les ordinateurs centrals a été résolu.","status"
18,"CRA/CBSA mainframe  systems are functioning normally.","Les systems d'ordinateurs centrales de l'ARC/ASFC fonctionnent normalement.","status"
19,"Batch cycles had to catch up after delays during the weekend maintenance window. Access to some online tax applications was impacted. ","Les cycles par lots étaient en retard a cause des activitiés d'entretien prévu du weekend. L'acces aux applications ci-dessus a été affectés.","status"
20,"The above listed applications are now all available.","Les applications ci-dessus sont maintenant disponibles.","status"
