"id","site_code","english_name","french_name","designated","departments","groups"
1,"432","Barrie Tax Service Office","Bureau de service fiscal Barrie",TRUE,"Canada Revenue Agency (CRA)",
2,"11A","Bathurst Tax Services Centre","Centre de service fiscal Bathurst",TRUE,"Canada Revenue Agency (CRA)",
3,"01A","Belleville Tax District Office","Bureau du district de Belleville",TRUE,"Canada Revenue Agency (CRA)",
4,"H24","Billings Bridge","Billings Bridge",TRUE,"Canada Revenue Agency (CRA)",
5,"720","Brandon Taxation & GST District Office","Bureau du district TPS et fiscal de Brandon",TRUE,"Canada Revenue Agency (CRA)",
6,"91T","Burnaby-Fraser Tax Service Office Call Site","Bureau de service fiscal de Burnaby-Fraser",TRUE,"Canada Revenue Agency (CRA)",
7,"801","Calgary District Office Tax and Customs","Bureau du district fiscal et des douanes de Calgary",TRUE,"Canada Revenue Agency (CRA)",
8,"80V","Calgary Taxpayer Services Call Centre","Aéroport Calgary Centre d’appels",TRUE,"Canada Revenue Agency (CRA)",
9,"H0E","Canada Post Place","Place des Postes du Canada",TRUE,"Canada Revenue Agency (CRA)",
10,"11B","Charlottetown Tax Services","Bureau de service fiscal Charlottetown",TRUE,"Canada Revenue Agency (CRA)",
11,"21A","Chicoutimi District Office","Bureau du district de Chicoutimi",TRUE,"Canada Revenue Agency (CRA)",
12,"H01","Connaught Building","Edifice Connaught",TRUE,"Canada Revenue Agency (CRA)",
13,"D24","Data Center West Quebec","Centre de données Ouest Quebec",TRUE,"Canada Revenue Agency (CRA)",
14,"D01","Data Centre St. Laurent","Centre de données St Laurent",TRUE,"Canada Revenue Agency (CRA)",
15,"81C","Edmonton Tax District Office","Bureau du district d’Edmonton",TRUE,"Canada Revenue Agency (CRA)",
16,"150","Halifax Customs Regional Office","Douanes et bureau du région de Halifax",TRUE,"Canada Revenue Agency (CRA)",
17,"50R","Hamilton Federal Building","Édifice fédérale d'Hamilton ",TRUE,"Canada Revenue Agency (CRA)",
18,"520 ","Hamilton GST District Office & Tax Appeals","Bureau du district TPS et fiscal de Hamilton",TRUE,"Canada Revenue Agency (CRA)",
19,"H0L","ITB 2465 St-Laurent","DGI 2465 St-Laurent",TRUE,"Canada Revenue Agency (CRA)",
20,"H19","ITB Head Office","DGI bureau centrale",TRUE,"Canada Revenue Agency (CRA)",
21,"H0G","ITB West","DGI Ouest",TRUE,"Canada Revenue Agency (CRA)",
